,model,p,dtrue,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris,ranges
0,APPLAM,15,3,3,4,50,0.2042415031776734,0.17864285714285713,10,5,5.24,0.845,0.916901746955536,"(0.8994226239260871, 0.9050903536708527)",-10.0
1,Isotropic,15,3,3,4,50,0.27616995073891626,0.20085714285714285,10,8,8.18,0.96125,0.6049152734777279,"(0.6213053131771649, 0.6253390836212793)",-10.0
2,APPLAM,15,3,4,4,50,0.10360663082437276,0.10835714285714286,10,4,4.0,0.7775,1.0,"(nan, nan)",-10.0
3,Isotropic,15,3,4,4,50,0.11323746599300427,0.11628571428571428,10,4,4.01375,0.7325,1.0,"(0.9997589103810488, 0.9999065991237724)",-10.0
4,APPLAM,15,3,3,4,50,0.2961447693331025,0.11007142857142857,10,8,7.771875,0.950625,0.7343842034444186,"(0.692035293846248, 0.6968739657019143)",-10.0
5,Isotropic,15,3,3,4,50,0.2414334440152696,0.2037857142857143,10,6,5.976875,0.840625,0.9188114099207834,"(0.8291036467256184, 0.8371422510564083)",-10.0
6,APPLAM,15,3,4,4,50,0.12971152133911082,0.1215,10,4,4.0,0.7625,1.0,"(nan, nan)",-10.0
7,Isotropic,15,3,4,4,50,0.10697497141405159,0.12764285714285714,10,4,4.0,0.7575,1.0,"(nan, nan)",-10.0
8,APPLAM,15,3,3,4,50,0.18308006781917,0.11414285714285714,10,4,4.00625,0.76625,1.0,"(0.999925228940363, 0.9999835412140216)",-10.0
9,Isotropic,15,3,3,4,50,0.23265915569431248,0.12478571428571429,10,5,5.63375,0.865,0.9210104582127855,"(0.8741748598160104, 0.8793993268987248)",-10.0
10,APPLAM,15,3,4,4,50,0.1197331743550908,0.15728571428571428,10,4,4.005625,0.753125,1.0,"(0.9998968543804062, 0.999980070034311)",-10.0
11,Isotropic,15,3,4,4,50,0.11221786920868558,0.12185714285714286,10,4,4.0,0.78,1.0,"(nan, nan)",-10.0
12,APPLAM,15,3,3,4,50,0.2749463128334192,0.1865,10,6,8.044375,0.913125,0.818926296633303,"(0.6900038630036859, 0.7057251980599147)",-10.0
13,Isotropic,15,3,3,4,50,0.2803652391811864,0.15628571428571428,10,8,7.98375,0.93625,0.7217612931925264,"(0.6534945021594588, 0.6596020370262291)",-10.0
14,APPLAM,15,3,4,4,50,0.10717497430626927,0.13307142857142856,10,4,4.014375,0.746875,1.0,"(0.9985387913867403, 0.999414664639408)",-10.0
15,Isotropic,15,3,4,4,50,0.10458712650321918,0.12235714285714286,10,4,4.000625,0.744375,1.0,"(0.9999876895772306, 1.0000039907465261)",-10.0
16,APPLAM,15,3,3,4,50,0.20347344137660867,0.1352857142857143,10,4,4.410625,0.741875,1.0,"(0.9656243776382724, 0.9698494041999034)",-10.0
17,Isotropic,15,3,3,4,50,0.1939608076852128,0.1345,10,4,4.166875,0.743125,1.0,"(0.9900421712569797, 0.992346253938221)",-10.0
18,APPLAM,15,3,4,4,50,0.1174392312040701,0.091,10,4,4.0,0.74375,1.0,"(nan, nan)",-10.0
19,Isotropic,15,3,4,4,50,0.11837795275590551,0.1472857142857143,10,4,4.008125,0.779375,1.0,"(0.9998322826102831, 0.9999565952204795)",-10.0
20,APPLAM,15,3,3,4,50,0.19744126889121652,0.24371428571428572,10,4,4.49625,0.775,1.0,"(0.9621471342230254, 0.9669780381863111)",-10.0
21,Isotropic,15,3,3,4,50,0.20958163920393752,0.1482857142857143,10,5,4.61875,0.75875,1.0,"(0.9499819872779417, 0.9539368450473339)",-10.0
22,APPLAM,15,3,4,4,50,0.10623329791686789,0.22135714285714286,10,4,4.0,0.75375,1.0,"(nan, nan)",-10.0
23,Isotropic,15,3,4,4,50,0.12151685571759921,0.15085714285714286,10,4,4.0,0.78,1.0,"(nan, nan)",-10.0
24,APPLAM,15,3,3,4,50,0.259136704337622,0.18521428571428572,10,6,6.068125,0.834375,0.8268059181897301,"(0.8232924873848229, 0.8253972517135084)",-10.0
25,Isotropic,15,3,3,4,50,0.21655681246533465,0.15114285714285713,10,5,5.028125,0.789375,0.913956851694473,"(0.9160122104169878, 0.9167873870892768)",-10.0
26,APPLAM,15,3,4,4,50,0.11419345602621407,0.1095,10,4,4.0,0.74875,1.0,"(nan, nan)",-10.0
27,Isotropic,15,3,4,4,50,0.11788179955997269,0.11821428571428572,10,4,4.375625,0.789375,1.0,"(0.9683522697952968, 0.9722204550254095)",-10.0
28,APPLAM,15,3,3,4,50,0.18560617665982412,0.12671428571428572,10,4,4.27375,0.74875,1.0,"(0.9787871344721834, 0.9832008169032668)",-10.0
29,Isotropic,15,3,3,4,50,0.20488358886996025,0.2307142857142857,10,5,4.931875,0.828125,1.0,"(0.9348786290919435, 0.9405135563610025)",-10.0
30,APPLAM,15,3,4,4,50,0.10946026431434412,0.12692857142857142,10,4,4.0,0.7775,1.0,"(nan, nan)",-10.0
31,Isotropic,15,3,4,4,50,0.15579119086460033,0.2067142857142857,10,5,5.398125,0.801875,0.916901746955536,"(0.8771262470884839, 0.8840432591988748)",-10.0
32,APPLAM,15,3,3,4,50,0.21060698957694665,0.1712857142857143,10,4,4.29,0.785,1.0,"(0.9742031054644616, 0.9799966540368131)",-10.0
33,Isotropic,15,3,3,4,50,0.17283852384665574,0.212,10,4,4.06875,0.8,1.0,"(0.9960894133364673, 0.9975455756649618)",-10.0
34,APPLAM,15,3,4,4,50,0.10932628547011253,0.13428571428571429,10,4,4.0,0.755,1.0,"(nan, nan)",-10.0
35,Isotropic,15,3,4,4,50,0.1840698880942552,0.11985714285714286,10,6,6.133125,0.871875,0.8177959047777593,"(0.8107756762786024, 0.8139332387455888)",-10.0
36,APPLAM,15,3,3,4,50,0.2529886671884549,0.20942857142857144,10,7,7.008125,0.846875,0.7272135870449107,"(0.7405307718913633, 0.7475047736392652)",-10.0
37,Isotropic,15,3,3,4,50,0.18162897614314116,0.18228571428571427,10,4,4.225625,0.761875,1.0,"(0.9828972099807803, 0.9859333082073746)",-10.0
38,APPLAM,15,3,4,4,50,0.11098661886164288,0.14042857142857143,10,4,4.0,0.7525,1.0,"(nan, nan)",-10.0
39,Isotropic,15,3,4,4,50,0.11051935005501251,0.11771428571428572,10,4,4.00125,0.71125,1.0,"(0.9999481268464105, 1.0000120187553918)",-10.0
