,n_dataset,model,p,d,M,npc,conc_dir,mode_nclus,avg_nclus,ari_best_clus,CI_aris
0,0,Lamb,500,4,4,50,0.1,20,23.0,0.5860602094240838,"(0.48563297382659365, 0.5857936415547067)"
1,0,Lamb,500,4,4,50,0.5,21,23.5,0.6843996421002466,"(0.5060776756510772, 0.6616454631735367)"
2,0,Lamb,500,4,4,50,1.0,28,25.125,0.523791946223689,"(0.42582863610076477, 0.5541401055457137)"
3,1,Lamb,500,4,4,50,0.1,23,23.625,0.7392954872955273,"(0.6265453434095114, 0.7475856567758108)"
4,1,Lamb,500,4,4,50,0.5,17,21.875,0.7091033591751305,"(0.5066303996463366, 0.672619094810339)"
5,1,Lamb,500,4,4,50,1.0,28,25.25,0.7275644400944068,"(0.5518815421102408, 0.7050616746392431)"
6,2,Lamb,500,4,4,50,0.1,19,22.625,0.6889940567906669,"(0.5512194180623267, 0.6806845738841534)"
7,2,Lamb,500,4,4,50,0.5,21,23.375,0.6187545400408372,"(0.5758862095696113, 0.6295863480843129)"
8,2,Lamb,500,4,4,50,1.0,24,25.5,0.5463328412320609,"(0.4919252630888947, 0.6042463972046962)"
9,3,Lamb,500,4,4,50,0.1,20,25.875,0.5537837542600642,"(0.431050267046443, 0.6105592577245608)"
10,3,Lamb,500,4,4,50,0.5,24,25.5,0.45913204398151153,"(0.468341957172031, 0.6081962715916661)"
11,3,Lamb,500,4,4,50,1.0,23,25.0,0.5903335761202756,"(0.465188805340736, 0.6264736483178976)"
12,4,Lamb,500,4,4,50,0.1,20,23.375,0.5616029260235968,"(0.5137991072080018, 0.6391318631773485)"
13,4,Lamb,500,4,4,50,0.5,20,21.0,0.6273845476330919,"(0.6081249720617511, 0.6893851444604008)"
14,4,Lamb,500,4,4,50,1.0,23,23.125,0.6458131383487511,"(0.6072357437401366, 0.6807050837512436)"
15,5,Lamb,500,4,4,50,0.1,13,15.0,0.8224712402029816,"(0.6856534912571445, 0.8126272797394954)"
16,5,Lamb,500,4,4,50,0.5,15,17.75,0.7416823315864031,"(0.6375664661906386, 0.7383267067256016)"
