,n_dataset,model,p,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
0,0,APPLAM,500,4,4,50,0.10560344827586207,0.06614285714285714,0.5,4,3.964,0.6416,1.0,"(0.8039171620518567, 0.8149054998742796)"
1,0,APPLAM,500,4,4,50,0.10121528797041038,0.060142857142857144,1.0,5,4.7372,1.0748,1.0,"(0.8866233437838655, 0.8957210813690197)"
2,0,APPLAM,500,4,4,50,0.105175983436853,0.059571428571428574,5.0,6,5.5964,4.83,1.0,"(0.9050654480273285, 0.9099830008394246)"
3,1,APPLAM,500,4,4,50,0.10546361055328578,0.06657142857142857,0.5,4,3.9728,0.634,0.6657728105064422,"(0.6767223242443308, 0.6840150409463748)"
4,1,APPLAM,500,4,4,50,0.10334171024926984,0.07457142857142857,1.0,4,3.9344,1.1092,0.6705872410538627,"(0.6582908588312184, 0.6603297244014645)"
5,1,APPLAM,500,4,4,50,0.1251105868475376,0.06157142857142857,5.0,6,5.698,4.974,0.916901746955536,"(0.7610699023884321, 0.7712177544555682)"
6,2,APPLAM,500,4,4,50,0.11964543218254305,0.08057142857142857,0.5,3,3.0484,0.6476,0.7111756168359942,"(0.7032542337769704, 0.7056443305515626)"
7,2,APPLAM,500,4,4,50,0.112615646379072,0.08128571428571428,1.0,4,3.7728,1.1864,0.7111756168359942,"(0.6930306812658054, 0.6991970759013375)"
8,2,APPLAM,500,4,4,50,0.1077008022345643,0.077,5.0,4,3.9396,4.9508,0.7111756168359942,"(0.7560370970757737, 0.7665613454273064)"
9,3,APPLAM,500,4,4,50,0.10745971752536304,0.05814285714285714,0.5,3,3.484,0.6572,0.7111756168359942,"(0.7722082804979393, 0.7847456909103008)"
10,3,APPLAM,500,4,4,50,0.10810469485050359,0.04871428571428572,1.0,4,4.5192,0.966,1.0,"(0.8417264924303289, 0.853385682879853)"
11,3,APPLAM,500,4,4,50,0.11491550737063362,0.061142857142857145,5.0,5,5.2988,5.0268,0.9152830991911451,"(0.8678665970129649, 0.8752847594922111)"
12,4,APPLAM,500,4,4,50,0.1066933151896581,0.08828571428571429,0.5,2,3.0532,0.6592,0.7111756168359942,"(0.6997782110272042, 0.7157499720217784)"
13,4,APPLAM,500,4,4,50,0.11033956227732131,0.08514285714285715,1.0,4,3.732,1.1136,1.0,"(0.8074832853190255, 0.8202390915778999)"
14,4,APPLAM,500,4,4,50,0.10703008143593153,0.08285714285714285,5.0,5,4.8104,4.9752,1.0,"(0.9345344762128955, 0.9410472941486261)"
15,5,APPLAM,500,4,4,50,0.12697669392312957,0.07457142857142857,0.5,3,4.1208,0.6452,0.7111756168359942,"(0.7427218007542077, 0.7509918920593562)"
