,n_dataset,model,p,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
0,0,APPLAM,500,8,4,50,0.17423475005505396,0.034,0.5,4,3.687,1.0486,0.7111756168359942,"(0.6714700754091214, 0.6779650397130896)"
1,0,APPLAM,500,8,4,50,0.17519487871793754,0.03141666666666667,1.0,3,3.7272,1.5596,0.7111756168359942,"(0.7178065548987962, 0.7229440296072993)"
2,0,APPLAM,500,8,4,50,0.1525131462132077,0.029333333333333333,5.0,5,4.9478,5.6218,0.6235090894135066,"(0.6618708250208369, 0.6671517566446643)"
3,1,APPLAM,500,8,4,50,0.14612919196393673,0.02775,0.5,3,3.0366,1.0042,0.7111756168359942,"(0.6556825345899652, 0.6626480276519305)"
4,1,APPLAM,500,8,4,50,0.14873530459565373,0.02666666666666667,1.0,3,3.1124,1.6212,0.7111756168359942,"(0.6783502622144797, 0.6831211961748751)"
5,1,APPLAM,500,8,4,50,0.13286611889801836,0.030333333333333334,5.0,3,3.2988,5.4432,0.7111756168359942,"(0.6994838668034846, 0.7031927014137538)"
6,2,APPLAM,500,8,4,50,0.06817014092777451,0.027,0.5,5,4.4494,1.0156,0.7072811963716598,"(0.6272428285147631, 0.6313206779296239)"
7,2,APPLAM,500,8,4,50,0.06857444025844736,0.027333333333333334,1.0,4,4.11,1.5936,0.705871814395127,"(0.7249772211727582, 0.7297395078100136)"
8,2,APPLAM,500,8,4,50,0.07094436652641421,0.030416666666666668,5.0,5,4.9762,5.5214,0.6687526542646406,"(0.6692614356054739, 0.6737718961548772)"
9,3,APPLAM,500,8,4,50,0.058863866031471056,0.04608333333333333,0.5,2,2.0468,1.1898,0.32996632996632996,"(0.3289986788413808, 0.3293597321852757)"
10,3,APPLAM,500,8,4,50,0.04686464040199602,0.043333333333333335,1.0,2,2.1534,1.6318,0.32996632996632996,"(0.33589633597034946, 0.3370843850054986)"
11,3,APPLAM,500,8,4,50,0.057266982622432856,0.04875,5.0,2,2.157,5.5278,0.32996632996632996,"(0.347250567398036, 0.35117406085465835)"
12,4,APPLAM,500,8,4,50,0.2034449817899576,0.04558333333333333,0.5,3,2.7326,1.0964,0.7111756168359942,"(0.6169579088380247, 0.6224719435657976)"
13,4,APPLAM,500,8,4,50,0.17240820734341253,0.035583333333333335,1.0,3,3.017,1.6158,0.7111756168359942,"(0.6941527879724368, 0.6990525571194753)"
14,4,APPLAM,500,8,4,50,0.2734169732002102,0.04958333333333333,5.0,2,2.348,5.6268,0.4962025316455696,"(0.5228261477189551, 0.5265682019581286)"
15,5,APPLAM,500,8,4,50,0.044292650418888045,0.05075,0.5,3,3.3618,1.0162,0.7111756168359942,"(0.6894996505949537, 0.6914225525674728)"
16,5,APPLAM,500,8,4,50,0.04573507275464125,0.04558333333333333,1.0,3,3.186,1.5444,0.7111756168359942,"(0.7016836696495763, 0.7046752453170584)"
17,5,APPLAM,500,8,4,50,0.044889077183792946,0.042166666666666665,5.0,5,4.268,5.5076,0.7111756168359942,"(0.7606338789972025, 0.7659173591374397)"
18,6,APPLAM,500,8,4,50,0.15350644762409468,0.0385,0.5,4,3.672,1.0112,0.7111756168359942,"(0.7492204888845424, 0.7547342582743741)"
19,6,APPLAM,500,8,4,50,0.15648414333250335,0.041416666666666664,1.0,3,3.5156,1.5364,0.7111756168359942,"(0.7370437816653087, 0.7409778517688584)"
20,6,APPLAM,500,8,4,50,0.15090737077492045,0.051916666666666667,5.0,5,4.8266,5.3354,0.6303626374088926,"(0.6663618287687683, 0.6715612969038287)"
21,7,APPLAM,500,8,4,50,0.1572702413506123,0.03233333333333333,0.5,3,3.3826,1.0432,0.7111756168359942,"(0.7186715629899336, 0.7214006932181483)"
