,n_dataset,model,p,d,M,npc,conc_dir,mode_nclus,avg_nclus,ari_best_clus,CI_aris
0,0,Lamb,500,8,4,50,0.1,21,23.375,0.405516774863028,"(0.3716506723773255, 0.4617468910062401)"
1,0,Lamb,500,8,4,50,0.5,26,25.875,0.46938465364317095,"(0.43172673389560545, 0.4602764335192806)"
2,0,Lamb,500,8,4,50,1.0,22,25.0,0.45799143000884757,"(0.4443891452349183, 0.5202441839480211)"
3,1,Lamb,500,8,4,50,0.1,23,24.0,0.3994319190484644,"(0.35462366678079094, 0.4089007758404022)"
4,1,Lamb,500,8,4,50,0.5,26,27.25,0.4380251274294657,"(0.35546422685279594, 0.42262087059339065)"
5,1,Lamb,500,8,4,50,1.0,20,23.5,0.3722937976744082,"(0.3712336058386078, 0.4416308311985843)"
6,2,Lamb,500,8,4,50,0.1,25,25.875,0.4509284742542805,"(0.40473828818546137, 0.46825774358695865)"
7,2,Lamb,500,8,4,50,0.5,29,27.375,0.450264285558915,"(0.4191691126735836, 0.4574744839310053)"
8,2,Lamb,500,8,4,50,1.0,21,24.5,0.5870261783723559,"(0.4831995573125537, 0.5631932070026219)"
9,3,Lamb,500,8,4,50,0.1,35,34.25,0.4535817316047409,"(0.3832325874993094, 0.48583747531472793)"
10,3,Lamb,500,8,4,50,0.5,33,33.625,0.4187508698248723,"(0.3526188931252413, 0.4052348851917046)"
11,3,Lamb,500,8,4,50,1.0,28,32.0,0.36532971513913953,"(0.3512131107672164, 0.4312235555584224)"
12,4,Lamb,500,8,4,50,0.1,16,21.375,0.4168297663002655,"(0.32631980391650567, 0.414479983264812)"
13,4,Lamb,500,8,4,50,0.5,15,21.25,0.4086181277860327,"(0.32528923926486303, 0.42337131648524146)"
14,4,Lamb,500,8,4,50,1.0,17,22.25,0.3931938929042694,"(0.34399739411099484, 0.4357234162116894)"
15,5,Lamb,500,8,4,50,0.1,19,19.0,0.6198437649625156,"(0.571787532428676, 0.6233236234493921)"
16,5,Lamb,500,8,4,50,0.5,19,19.0,0.6198437649625156,"(0.571787532428676, 0.6233236234493921)"
17,5,Lamb,500,8,4,50,1.0,16,17.0,0.5561279094191665,"(0.5236830325609428, 0.5513035149940336)"
18,6,Lamb,500,8,4,50,0.1,24,24.125,0.4954999987183135,"(0.4449226641124512, 0.4916111996322)"
19,6,Lamb,500,8,4,50,0.5,25,24.875,0.4680753274713047,"(0.4346587515612619, 0.4715066895147568)"
20,6,Lamb,500,8,4,50,1.0,25,24.625,0.4596258003118475,"(0.4345465621504626, 0.47389619665142)"
21,7,Lamb,500,8,4,50,0.1,21,22.125,0.46479600619728006,"(0.4055046177837068, 0.45919804943075454)"
22,7,Lamb,500,8,4,50,0.5,23,24.875,0.4245370085522673,"(0.4093132166679899, 0.48554024381035)"
23,7,Lamb,500,8,4,50,1.0,24,25.5,0.41591996274711784,"(0.4127789996616347, 0.5007810259341938)"
24,8,Lamb,500,8,4,50,0.1,29,29.875,0.4526979336529803,"(0.43425746095752243, 0.5297196718577838)"
25,8,Lamb,500,8,4,50,0.5,25,25.375,0.5453079487027063,"(0.4971775173336114, 0.5551439594382391)"
26,8,Lamb,500,8,4,50,1.0,28,26.625,0.572149299820764,"(0.4890751439902982, 0.5991028400606248)"
27,9,Lamb,500,8,4,50,0.1,27,26.875,0.4546856068337466,"(0.4246065596163302, 0.47185598800427453)"
28,9,Lamb,500,8,4,50,0.5,27,26.25,0.5863024205893294,"(0.4846596410185059, 0.641806098518893)"
29,9,Lamb,500,8,4,50,1.0,22,25.0,0.3859942787903014,"(0.37461592494687407, 0.4267962376030841)"
30,10,Lamb,500,8,4,50,0.1,15,17.0,0.5547043953505246,"(0.5017722789076146, 0.5509505622993373)"
31,10,Lamb,500,8,4,50,0.5,14,17.125,0.48993454693686,"(0.48510294875582755, 0.5262899819408391)"
32,10,Lamb,500,8,4,50,1.0,15,17.25,0.46785697314250413,"(0.43663838262599813, 0.48334450604537144)"
33,11,Lamb,500,8,4,50,0.1,23,27.0,0.41420284381601497,"(0.3617174863367464, 0.4475297326806421)"
34,11,Lamb,500,8,4,50,0.5,30,31.125,0.4311515461677054,"(0.3984725180602376, 0.4451809574379421)"
35,11,Lamb,500,8,4,50,1.0,26,27.375,0.5144465055395228,"(0.45126737757031166, 0.5143847069289995)"
36,12,Lamb,500,8,4,50,0.1,16,19.25,0.4974206867581593,"(0.39025411598381077, 0.49809720279923875)"
37,12,Lamb,500,8,4,50,0.5,19,20.0,0.4444932802766899,"(0.3808250016896546, 0.5090753963290028)"
38,12,Lamb,500,8,4,50,1.0,17,20.5,0.5240006486661801,"(0.4696346232205914, 0.5407458142203206)"
39,13,Lamb,500,8,4,50,0.1,31,31.0,0.35093928447094885,"(0.3561161439899474, 0.4296108982561051)"
40,13,Lamb,500,8,4,50,0.5,29,28.125,0.41488608104138347,"(0.4335036574592039, 0.5025140737539009)"
41,13,Lamb,500,8,4,50,1.0,29,28.625,0.424515361423815,"(0.4129998620486603, 0.45392403925388575)"
42,14,Lamb,500,8,4,50,0.1,19,21.625,0.5065563102625501,"(0.5049584541231058, 0.5285130503352111)"
43,14,Lamb,500,8,4,50,0.5,25,24.25,0.4084949603843851,"(0.41420748210545777, 0.45708034489170357)"
44,14,Lamb,500,8,4,50,1.0,20,21.5,0.46654604646096687,"(0.4253675809456732, 0.4801103660295607)"
45,15,Lamb,500,8,4,50,0.1,29,29.125,0.4300504412734492,"(0.40742964256378084, 0.470666766445275)"
46,15,Lamb,500,8,4,50,0.5,31,30.875,0.29972019526406285,"(0.2911540372802247, 0.3417065013163211)"
47,15,Lamb,500,8,4,50,1.0,28,27.375,0.3992014196195469,"(0.38632480017205834, 0.4415295213762875)"
48,16,Lamb,500,8,4,50,0.1,20,19.875,0.42250138766591516,"(0.40662816754708264, 0.46402192733799597)"
49,16,Lamb,500,8,4,50,0.5,17,19.5,0.4910067693192674,"(0.3999745126770033, 0.48249168990022434)"
50,16,Lamb,500,8,4,50,1.0,17,19.625,0.4748254622246232,"(0.39897208836386316, 0.4733157089691951)"
51,17,Lamb,500,8,4,50,0.1,26,27.375,0.43174850255315345,"(0.41697276068860895, 0.4797682683635304)"
52,17,Lamb,500,8,4,50,0.5,31,30.625,0.4527651721504404,"(0.4157984611679669, 0.4589336744018193)"
53,17,Lamb,500,8,4,50,1.0,28,27.25,0.45291894132913585,"(0.4452041541813812, 0.49107267577965913)"
54,18,Lamb,500,8,4,50,0.1,33,31.25,0.39155864558790676,"(0.3974039598719245, 0.4647371883521945)"
55,18,Lamb,500,8,4,50,0.5,32,31.625,0.49464540155855613,"(0.39839142163115376, 0.48917074334875815)"
56,18,Lamb,500,8,4,50,1.0,25,29.5,0.5201931916109985,"(0.39747491701198046, 0.5126334342194215)"
57,19,Lamb,500,8,4,50,0.1,31,31.25,0.3979255746628837,"(0.3796781342880165, 0.4498467858674298)"
58,19,Lamb,500,8,4,50,0.5,26,26.875,0.45556801004385505,"(0.4021760027610792, 0.45213968700604584)"
59,19,Lamb,500,8,4,50,1.0,25,27.75,0.5252055698608379,"(0.39613484483135286, 0.5042610120758911)"
