,model,p,dtrue,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris,ranges
0,APPLAM,15,4,3,4,50,0.17427877027965405,0.1417142857142857,10,4,4.13,0.785,1.0,"(0.9904659076918712, 0.9928234051633211)",-10.0
1,Isotropic,15,4,3,4,50,0.17060321502466974,0.29614285714285715,10,4,4.07625,0.7675,1.0,"(0.9954849812791855, 0.9970676824733931)",-10.0
2,APPLAM,15,4,4,4,50,0.10613995630381699,0.11621428571428571,10,4,4.0,0.725,1.0,"(nan, nan)",-10.0
3,Isotropic,15,4,4,4,50,0.0968234084923235,0.14335714285714285,10,4,4.0,0.80375,1.0,"(nan, nan)",-10.0
4,APPLAM,15,4,5,4,50,0.0828217916746595,0.06292857142857143,10,4,4.0,0.7175,1.0,"(nan, nan)",-10.0
5,Isotropic,15,4,5,4,50,0.06826119847414251,0.09907142857142857,10,4,4.0,0.74875,1.0,"(nan, nan)",-10.0
6,APPLAM,15,4,3,4,50,0.2296561896043129,0.13535714285714287,10,6,5.770625,0.875625,0.913956851694473,"(0.8624032010370011, 0.8705994967805835)",-10.0
7,Isotropic,15,4,3,4,50,0.16767055337241513,0.19514285714285715,10,4,4.00125,0.72125,1.0,"(0.9999801572613065, 1.0000032033862067)",-10.0
8,APPLAM,15,4,4,4,50,0.10469654797325399,0.0865,10,4,4.0,0.78625,1.0,"(nan, nan)",-10.0
9,Isotropic,15,4,4,4,50,0.11222186391486617,0.14814285714285713,10,4,4.0,0.77375,1.0,"(nan, nan)",-10.0
10,APPLAM,15,4,5,4,50,0.07333719657459276,0.12035714285714286,10,4,4.0,0.72625,1.0,"(nan, nan)",-10.0
11,Isotropic,15,4,5,4,50,0.06629175462060298,0.12707142857142859,10,4,4.0,0.76625,1.0,"(nan, nan)",-10.0
12,APPLAM,15,4,3,4,50,0.16632830626450115,0.17257142857142857,10,4,4.0,0.8075,1.0,"(nan, nan)",-10.0
13,Isotropic,15,4,3,4,50,0.1533306548814785,0.18928571428571428,10,4,4.005625,0.764375,1.0,"(0.9997444577570421, 0.9999716547586855)",-10.0
14,APPLAM,15,4,4,4,50,0.11014087225009649,0.13457142857142856,10,4,4.0,0.715,1.0,"(nan, nan)",-10.0
15,Isotropic,15,4,4,4,50,0.10096409199916306,0.11342857142857143,10,4,4.0,0.7775,1.0,"(nan, nan)",-10.0
16,APPLAM,15,4,5,4,50,0.07427708035298089,0.07671428571428572,10,4,4.0,0.76375,1.0,"(nan, nan)",-10.0
17,Isotropic,15,4,5,4,50,0.07040965324689911,0.05942857142857143,10,4,4.0,0.72,1.0,"(nan, nan)",-10.0
18,APPLAM,15,4,3,4,50,0.28467843074912125,0.13178571428571428,10,8,8.440625,1.006875,0.5949227354964004,"(0.6406506803849223, 0.6456377340573256)",-10.0
19,Isotropic,15,4,3,4,50,0.21868081373490955,0.15928571428571428,10,5,5.06375,0.76875,0.9121858565359108,"(0.9123409245553639, 0.9152283838969167)",-10.0
20,APPLAM,15,4,4,4,50,0.10947671111672881,0.12914285714285714,10,4,4.0,0.75875,1.0,"(nan, nan)",-10.0
21,Isotropic,15,4,4,4,50,0.11042520697693112,0.1372142857142857,10,4,4.0,0.7325,1.0,"(nan, nan)",-10.0
22,APPLAM,15,4,5,4,50,0.06681270536692223,0.0815,10,4,4.0,0.7575,1.0,"(nan, nan)",-10.0
23,Isotropic,15,4,5,4,50,0.08117548435171386,0.10857142857142857,10,4,4.0,0.75125,1.0,"(nan, nan)",-10.0
24,APPLAM,15,4,3,4,50,0.2272666070969558,0.18435714285714286,10,6,5.8075,0.84,0.9121858565359108,"(0.8510978259482715, 0.8546683671838393)",-10.0
25,Isotropic,15,4,3,4,50,0.2311850585295278,0.11457142857142857,10,5,5.1175,0.79875,0.9210104582127855,"(0.9174123300815971, 0.9222987449397086)",-10.0
26,APPLAM,15,4,4,4,50,0.11562773664517156,0.14707142857142858,10,4,4.005,0.74,1.0,"(0.9997726769354915, 0.9999823151416887)",-10.0
27,Isotropic,15,4,4,4,50,0.12219421073413723,0.10821428571428572,10,4,4.00625,0.7425,1.0,"(0.9999326998452579, 0.9999841033923086)",-10.0
28,APPLAM,15,4,5,4,50,0.07576779748136726,0.08628571428571429,10,4,4.0,0.7125,1.0,"(nan, nan)",-10.0
29,Isotropic,15,4,5,4,50,0.06457796391752578,0.10621428571428572,10,4,4.0,0.78375,1.0,"(nan, nan)",-10.0
30,APPLAM,15,4,3,4,50,0.15931691487139943,0.16192857142857142,10,4,4.001875,0.766875,1.0,"(0.9999130411516317, 1.0000078411727225)",-10.0
31,Isotropic,15,4,3,4,50,0.2601993865030675,0.15621428571428572,10,7,7.06625,0.915,0.7427210339181323,"(0.754210669567097, 0.7591584254566283)",-10.0
32,APPLAM,15,4,4,4,50,0.11562839832219979,0.16028571428571428,10,4,4.000625,0.776875,1.0,"(0.9999876895772306, 1.0000039907465261)",-10.0
33,Isotropic,15,4,4,4,50,0.12967558943449742,0.12771428571428572,10,4,4.134375,0.750625,1.0,"(0.9886506992214721, 0.9912430224538871)",-10.0
34,APPLAM,15,4,5,4,50,0.07512143509835041,0.10971428571428571,10,4,4.0,0.7375,1.0,"(nan, nan)",-10.0
35,Isotropic,15,4,5,4,50,0.07166656089357111,0.05907142857142857,10,4,4.0,0.745,1.0,"(nan, nan)",-10.0
36,APPLAM,15,4,3,4,50,0.1786416626024574,0.15235714285714286,10,4,4.1625,0.76375,1.0,"(0.9890349570630619, 0.9914918188610509)",-10.0
37,Isotropic,15,4,3,4,50,0.19878317113870964,0.20635714285714285,10,4,4.69125,0.80125,1.0,"(0.9434813605285307, 0.950145577276171)",-10.0
38,APPLAM,15,4,4,4,50,0.11791698644154515,0.09521428571428571,10,4,4.001875,0.705625,1.0,"(0.9999554230955136, 1.0000035517093924)",-10.0
39,Isotropic,15,4,4,4,50,0.15433264236390762,0.13942857142857143,10,5,5.0025,0.7975,0.9262689885142645,"(0.9269569443869351, 0.927802168298444)",-10.0
40,APPLAM,15,4,5,4,50,0.07001225174103688,0.11964285714285715,10,4,4.0,0.73125,1.0,"(nan, nan)",-10.0
41,Isotropic,15,4,5,4,50,0.07083900953602051,0.07278571428571429,10,4,4.0,0.72125,1.0,"(nan, nan)",-10.0
42,APPLAM,15,4,3,4,50,0.18869574394307165,0.16192857142857142,10,4,4.2675,0.7525,1.0,"(0.9821298839140103, 0.9854555878356493)",-10.0
