,n_dataset,model,p,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
0,0,APPLAM,1000,8,4,50,0.17904117832478436,0.024583333333333332,0.5,3,2.6652,1.0786,0.4962025316455696,"(0.5308350167168032, 0.5353123790647729)"
1,0,APPLAM,1000,8,4,50,0.11445841627421469,0.022416666666666668,1.0,3,3.2834,1.583,0.7111756168359942,"(0.7166251909701344, 0.7185440291057033)"
2,0,APPLAM,1000,8,4,50,0.1411329658113841,0.019333333333333334,5.0,4,3.5208,5.4584,0.7111756168359942,"(0.6611548963592183, 0.6668961323686641)"
3,1,APPLAM,1000,8,4,50,0.18783131812496276,0.020833333333333332,0.5,3,2.5008,1.0918,0.4962025316455696,"(0.5254246303293204, 0.529076896884682)"
4,1,APPLAM,1000,8,4,50,0.1677669145706248,0.0155,1.0,3,2.8458,1.6082,0.4962025316455696,"(0.5603965588962632, 0.5658902728321127)"
5,1,APPLAM,1000,8,4,50,0.1536329439714908,0.023083333333333334,5.0,3,3.1906,5.5906,0.4962025316455696,"(0.6149063181200904, 0.6217499456728388)"
6,2,APPLAM,1000,8,4,50,0.09383487931122841,0.022333333333333334,0.5,3,3.0396,1.0556,0.7111756168359942,"(0.6307992185261924, 0.6355464669444724)"
7,2,APPLAM,1000,8,4,50,0.055564451561249,0.022333333333333334,1.0,4,3.6072,1.5748,1.0,"(0.8707759718821241, 0.87897229666346)"
8,2,APPLAM,1000,8,4,50,0.13204019630754849,0.02325,5.0,3,2.8738,5.5338,0.7111756168359942,"(0.6492646278860416, 0.655596428491174)"
9,3,APPLAM,1000,8,4,50,0.030620124078068002,0.019333333333333334,0.5,3,2.9432,1.0196,0.7111756168359942,"(0.6688027862004402, 0.6741266122216063)"
10,3,APPLAM,1000,8,4,50,0.031958032955715754,0.01625,1.0,2,2.507,1.6278,0.32996632996632996,"(0.501258894170323, 0.511675974469009)"
11,3,APPLAM,1000,8,4,50,0.03458297006684104,0.020666666666666667,5.0,3,2.9854,5.5886,0.7111756168359942,"(0.6441905079881399, 0.6491238170505323)"
12,4,APPLAM,1000,8,4,50,0.046559127306487175,0.019916666666666666,0.5,3,3.315,1.1346,0.7111756168359942,"(0.6877121299531175, 0.6898063312274472)"
13,4,APPLAM,1000,8,4,50,0.08835197826941635,0.024166666666666666,1.0,2,2.0818,1.6338,0.4962025316455696,"(0.49725827834151604, 0.49809181889879917)"
14,4,APPLAM,1000,8,4,50,0.08823529411764706,0.017583333333333333,5.0,3,2.8542,5.3386,0.4962025316455696,"(0.5639551253432213, 0.571357409685477)"
15,5,APPLAM,1000,8,4,50,0.05982330038933813,0.021416666666666667,0.5,2,2.0638,1.0402,0.4962025316455696,"(0.43893183583174905, 0.44299054083869266)"
16,5,APPLAM,1000,8,4,50,0.043642921550946796,0.013583333333333333,1.0,3,2.7068,1.5904,0.7111756168359942,"(0.5953883200760233, 0.6022217608764746)"
17,5,APPLAM,1000,8,4,50,0.03733819616752863,0.01575,5.0,3,2.7276,5.5416,0.7111756168359942,"(0.5739461891766215, 0.582715892701106)"
18,6,APPLAM,1000,8,4,50,0.10371652990037392,0.021416666666666667,0.5,3,3.1726,1.047,0.7111756168359942,"(0.707032035059331, 0.7089307183453598)"
19,6,APPLAM,1000,8,4,50,0.09575545529877544,0.019416666666666665,1.0,4,3.5444,1.592,0.7111756168359942,"(0.6796894840722024, 0.6815138745632087)"
20,6,APPLAM,1000,8,4,50,0.11266094420600858,0.021333333333333333,5.0,4,3.7698,5.603,0.7111756168359942,"(0.6821400070564635, 0.6839600206470474)"
21,7,APPLAM,1000,8,4,50,0.14077724269235076,0.022083333333333333,0.5,3,2.751,1.0874,0.4962025316455696,"(0.594231771476902, 0.5999805057813948)"
22,7,APPLAM,1000,8,4,50,0.11296791443850267,0.023333333333333334,1.0,4,3.5386,1.561,0.7111756168359942,"(0.7462652096930603, 0.7496528936230208)"
23,7,APPLAM,1000,8,4,50,0.11264336692261571,0.021416666666666667,5.0,4,4.1966,5.5326,0.7111756168359942,"(0.7375447484400979, 0.741700207815648)"
24,8,APPLAM,1000,8,4,50,0.12704514094224326,0.024583333333333332,0.5,2,2.2638,1.1212,0.32996632996632996,"(0.41362185322034195, 0.42237501726105153)"
25,8,APPLAM,1000,8,4,50,0.11638252862120457,0.0205,1.0,2,2.4624,1.6276,0.32996632996632996,"(0.48467075280017763, 0.49486663144679927)"
26,8,APPLAM,1000,8,4,50,0.09380023577322902,0.019833333333333335,5.0,3,3.0202,5.6602,0.7111756168359942,"(0.7019396457238125, 0.7030979770835597)"
27,9,APPLAM,1000,8,4,50,0.19353177085249643,0.019083333333333334,0.5,2,2.02,1.0752,0.4962025316455696,"(0.496520650646508, 0.4970212713743178)"
28,9,APPLAM,1000,8,4,50,0.16034120054177112,0.016083333333333335,1.0,2,2.6552,1.576,0.4962025316455696,"(0.5424073605773088, 0.5479084314593683)"
29,9,APPLAM,1000,8,4,50,0.1155833021916423,0.01975,5.0,3,3.6892,5.4684,0.8300256242777471,"(0.6663868510835708, 0.6732576296726697)"
30,10,APPLAM,1000,8,4,50,0.08327619851273667,0.017833333333333333,0.5,3,3.0526,0.9952,0.7111756168359942,"(0.7103700654680067, 0.7107646974993604)"
31,10,APPLAM,1000,8,4,50,0.1648729446935725,0.019583333333333335,1.0,2,2.0604,1.6636,0.4962025316455696,"(0.4952966209724322, 0.4957549641486081)"
32,10,APPLAM,1000,8,4,50,0.07697319709758625,0.02125,5.0,3,2.7568,5.6948,0.7111756168359942,"(0.6475736122243306, 0.6528756489576769)"
33,11,APPLAM,1000,8,4,50,0.21134674642015588,0.023916666666666666,0.5,2,2.1146,1.1208,0.4962025316455696,"(0.5051130119794583, 0.5075099006924818)"
34,11,APPLAM,1000,8,4,50,0.18388873958613275,0.019916666666666666,1.0,2,2.3694,1.643,0.4962025316455696,"(0.5490960792230046, 0.5547403655295249)"
35,11,APPLAM,1000,8,4,50,0.19671007539410554,0.02675,5.0,2,2.2554,5.4306,0.4962025316455696,"(0.5216462388798488, 0.5253826415701359)"
36,12,APPLAM,1000,8,4,50,0.16019389791844882,0.0205,0.5,3,2.735,1.1334,0.4962025316455696,"(0.6096625718329531, 0.6164664397809039)"
37,12,APPLAM,1000,8,4,50,0.11199185191745638,0.025166666666666667,1.0,4,3.6494,1.5926,0.7111756168359942,"(0.7424588332470389, 0.7460411838896571)"
38,12,APPLAM,1000,8,4,50,0.11846603128607973,0.025,5.0,4,3.5962,5.5718,0.7111756168359942,"(0.753763904499682, 0.7586231850684722)"
