,n_dataset,model,p,d,M,npc,conc_dir,mode_nclus,avg_nclus,ari_best_clus,CI_aris
0,0,Lamb,1000,8,4,50,0.1,13,14.375,0.513521720764294,"(0.42513896465412376, 0.510032863256497)"
1,0,Lamb,1000,8,4,50,0.5,13,14.375,0.513521720764294,"(0.42513896465412376, 0.510032863256497)"
2,0,Lamb,1000,8,4,50,1.0,13,14.375,0.513521720764294,"(0.42513896465412376, 0.510032863256497)"
3,1,Lamb,1000,8,4,50,0.1,16,16.625,0.38785609201551424,"(0.38234291718442104, 0.3874798383274578)"
4,1,Lamb,1000,8,4,50,0.5,16,16.625,0.38785609201551424,"(0.38234291718442104, 0.3874798383274578)"
5,1,Lamb,1000,8,4,50,1.0,16,16.625,0.38785609201551424,"(0.38234291718442104, 0.3874798383274578)"
6,2,Lamb,1000,8,4,50,0.1,13,17.75,0.4765615246524803,"(0.3728597455940292, 0.4714092561811363)"
7,2,Lamb,1000,8,4,50,0.5,22,21.125,0.3134462669439402,"(0.32602458736884316, 0.39165523493283644)"
8,2,Lamb,1000,8,4,50,1.0,26,22.75,0.2840790524391567,"(0.2992999187338849, 0.3419736150180654)"
9,3,Lamb,1000,8,4,50,0.1,18,19.0,0.3579794051354576,"(0.3287815761154873, 0.3624174590645082)"
10,3,Lamb,1000,8,4,50,0.5,18,19.0,0.3579794051354576,"(0.3287815761154873, 0.3624174590645082)"
11,3,Lamb,1000,8,4,50,1.0,18,19.0,0.3579794051354576,"(0.3287815761154873, 0.3624174590645082)"
12,4,Lamb,1000,8,4,50,0.1,16,16.5,0.40150455561773785,"(0.36689902486748266, 0.3996455599507291)"
13,4,Lamb,1000,8,4,50,0.5,17,18.625,0.37828583804139754,"(0.34998923687929406, 0.41708464465968664)"
14,4,Lamb,1000,8,4,50,1.0,13,14.375,0.582461839062455,"(0.47114250719677253, 0.5894432324040157)"
15,5,Lamb,1000,8,4,50,0.1,9,12.875,0.3302876480541455,"(0.20366636846882497, 0.2780696672429769)"
16,5,Lamb,1000,8,4,50,0.5,9,12.875,0.3302876480541455,"(0.20366636846882497, 0.2780696672429769)"
17,5,Lamb,1000,8,4,50,1.0,9,12.875,0.3302876480541455,"(0.20366636846882497, 0.2780696672429769)"
18,6,Lamb,1000,8,4,50,0.1,17,18.5,0.3766447987018918,"(0.3405993702939054, 0.3830189394976631)"
19,6,Lamb,1000,8,4,50,0.5,19,21.875,0.3555975239073659,"(0.30812887630273667, 0.34988918814943004)"
20,6,Lamb,1000,8,4,50,1.0,18,21.625,0.36746369172950577,"(0.308862142726902, 0.3563593666324086)"
21,7,Lamb,1000,8,4,50,0.1,11,13.375,0.5744820769036698,"(0.568719863225529, 0.6751288821397758)"
22,7,Lamb,1000,8,4,50,0.5,16,19.75,0.38948297938885656,"(0.3387954306379003, 0.3873308464174614)"
23,7,Lamb,1000,8,4,50,1.0,16,18.125,0.40563981911350744,"(0.36854214574897315, 0.4766311166426156)"
24,8,Lamb,1000,8,4,50,0.1,16,16.375,0.3987402967423335,"(0.3795782874176126, 0.41850481829986114)"
25,8,Lamb,1000,8,4,50,0.5,16,16.375,0.3987402967423335,"(0.3795782874176126, 0.41850481829986114)"
26,8,Lamb,1000,8,4,50,1.0,16,16.375,0.3987402967423335,"(0.3795782874176126, 0.41850481829986114)"
27,9,Lamb,1000,8,4,50,0.1,20,18.625,0.3567890072169916,"(0.34696302461953193, 0.3948804865255822)"
28,9,Lamb,1000,8,4,50,0.5,20,18.625,0.3567890072169916,"(0.34696302461953193, 0.3948804865255822)"
29,9,Lamb,1000,8,4,50,1.0,20,18.625,0.3567890072169916,"(0.34696302461953193, 0.3948804865255822)"
30,10,Lamb,1000,8,4,50,0.1,16,17.375,0.436906578964632,"(0.3964890790047543, 0.4427277065961802)"
31,10,Lamb,1000,8,4,50,0.5,15,15.5,0.4776453375790697,"(0.47957496813711, 0.5018543706118471)"
32,10,Lamb,1000,8,4,50,1.0,16,16.25,0.4582115093225183,"(0.44410756671882196, 0.4551523432861904)"
33,11,Lamb,1000,8,4,50,0.1,13,17.625,0.4789446701922316,"(0.34749722742560596, 0.46516487229007697)"
34,11,Lamb,1000,8,4,50,0.5,13,17.625,0.4789446701922316,"(0.34749722742560596, 0.46516487229007697)"
35,11,Lamb,1000,8,4,50,1.0,13,17.625,0.4789446701922316,"(0.34749722742560596, 0.46516487229007697)"
36,12,Lamb,1000,8,4,50,0.1,17,17.5,0.3613067576344181,"(0.3549392570207619, 0.36819777753617455)"
37,12,Lamb,1000,8,4,50,0.5,17,17.5,0.3613067576344181,"(0.3549392570207619, 0.36819777753617455)"
38,12,Lamb,1000,8,4,50,1.0,17,16.875,0.36438886139727383,"(0.3642727258739416, 0.3953012229684458)"
39,13,Lamb,1000,8,4,50,0.1,10,10.875,0.4375519257887858,"(0.3945373411251658, 0.4660693824902602)"
40,13,Lamb,1000,8,4,50,0.5,10,10.875,0.4375519257887858,"(0.3945373411251658, 0.4660693824902602)"
41,13,Lamb,1000,8,4,50,1.0,10,10.875,0.4375519257887858,"(0.3945373411251658, 0.4660693824902602)"
42,14,Lamb,1000,8,4,50,0.1,14,14.5,0.4371303677037799,"(0.40915321659553405, 0.46060274759041997)"
43,14,Lamb,1000,8,4,50,0.5,16,15.0,0.3859942787903014,"(0.3880575472834445, 0.5183944146159624)"
44,14,Lamb,1000,8,4,50,1.0,16,15.0,0.3859942787903014,"(0.3880575472834445, 0.5183944146159624)"
45,15,Lamb,1000,8,4,50,0.1,16,15.75,0.4019646877613147,"(0.4144708708860979, 0.44794638891689764)"
46,15,Lamb,1000,8,4,50,0.5,18,17.875,0.3582173546027142,"(0.3521596214064071, 0.3709647105179885)"
47,15,Lamb,1000,8,4,50,1.0,18,17.875,0.3582173546027142,"(0.3521596214064071, 0.3709647105179885)"
48,16,Lamb,1000,8,4,50,0.1,15,16.125,0.5233744344894882,"(0.4577082769149659, 0.5508148568738412)"
49,16,Lamb,1000,8,4,50,0.5,12,16.375,0.46216635390841015,"(0.3927123324855437, 0.5521023730542386)"
50,16,Lamb,1000,8,4,50,1.0,15,15.0,0.46676462961362264,"(0.45846057001511753, 0.4723639431053529)"
51,17,Lamb,1000,8,4,50,0.1,27,27.625,0.3497426247749663,"(0.33095993841922106, 0.3590693864226127)"
52,17,Lamb,1000,8,4,50,0.5,28,30.125,0.3045550725584743,"(0.3053136647033689, 0.3208393580848304)"
53,17,Lamb,1000,8,4,50,1.0,29,30.375,0.4140984092690263,"(0.33180792298512585, 0.3997864842433758)"
54,18,Lamb,1000,8,4,50,0.1,16,15.125,0.45689045476437384,"(0.4329891471295374, 0.49045187642367927)"
55,18,Lamb,1000,8,4,50,0.5,12,13.75,0.4467160229640092,"(0.4599186551948616, 0.5072865576579572)"
56,18,Lamb,1000,8,4,50,1.0,12,13.75,0.4467160229640092,"(0.4599186551948616, 0.5072865576579572)"
57,19,Lamb,1000,8,4,50,0.1,14,16.0,0.39550779947781234,"(0.399616304382242, 0.48369657200115207)"
