,n_dataset,model,p,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
0,0,APPLAM,1000,4,4,50,0.1731794148006151,0.04641666666666667,0.5,4,3.7608,0.6578,1.0,"(0.7509009810509704, 0.7603878412489247)"
1,0,APPLAM,1000,4,4,50,0.16441731965114265,0.05025,1.0,4,4.171,1.113,1.0,"(0.8076003703857835, 0.8161406645383249)"
2,0,APPLAM,1000,4,4,50,0.16528031576639135,0.044,5.0,5,5.5098,4.7618,1.0,"(0.865988571045844, 0.8722880492348909)"
3,1,APPLAM,1000,4,4,50,0.1970429154105338,0.02675,0.5,4,3.6342,0.6752,0.7111756168359942,"(0.7037960796906251, 0.7059443478054273)"
4,1,APPLAM,1000,4,4,50,0.1946779294274301,0.027916666666666666,1.0,4,3.8802,1.0698,0.7027159817208279,"(0.7103813914629098, 0.7116805421879944)"
5,1,APPLAM,1000,4,4,50,0.22328192843240005,0.0315,5.0,6,5.5682,4.7474,0.5797716158514521,"(0.6121877312082133, 0.6148364762488219)"
6,2,APPLAM,1000,4,4,50,0.2528350201194976,0.03916666666666667,0.5,4,3.9296,0.6392,0.7111756168359942,"(0.6823436490408796, 0.684715372686755)"
7,2,APPLAM,1000,4,4,50,0.263565011513638,0.027833333333333335,1.0,5,5.1598,1.0484,0.6812039813729267,"(0.6098449277021062, 0.6132877954638204)"
8,2,APPLAM,1000,4,4,50,0.3070011620185923,0.03941666666666667,5.0,8,8.3396,4.7208,0.4472595118226062,"(0.45213815263693174, 0.4555717503182655)"
9,3,APPLAM,1000,4,4,50,0.03373850348939317,0.03966666666666667,0.5,2,1.7278,0.7514,0.32996632996632996,"(0.2183935374214683, 0.22700869500455836)"
10,3,APPLAM,1000,4,4,50,0.032106833357010936,0.034833333333333334,1.0,2,1.711,1.1608,0.32996632996632996,"(0.21527108823057645, 0.2239086733338665)"
11,3,APPLAM,1000,4,4,50,0.03725148596023775,0.04275,5.0,1,1.5018,5.1218,0.0,"(0.11594582964950424, 0.12389196670534934)"
12,4,APPLAM,1000,4,4,50,0.22263365468886942,0.033416666666666664,0.5,3,3.595,0.676,0.7111756168359942,"(0.7072951760345594, 0.7093988000471239)"
13,4,APPLAM,1000,4,4,50,0.22530905897453218,0.03808333333333333,1.0,5,4.8482,1.0428,0.6265193183816744,"(0.6034117649549942, 0.6061957978986927)"
14,4,APPLAM,1000,4,4,50,0.26184329710144927,0.03925,5.0,8,7.5468,4.7612,0.5053601879042945,"(0.4738559131457954, 0.47654744558362744)"
15,5,APPLAM,1000,4,4,50,0.2183749655500714,0.035833333333333335,0.5,3,3.2246,0.6638,0.7111756168359942,"(0.6165062053479301, 0.6248762935687643)"
16,5,APPLAM,1000,4,4,50,0.2065093262276361,0.036583333333333336,1.0,3,3.3372,1.0618,0.7111756168359942,"(0.6165785908230383, 0.6244799152360865)"
17,5,APPLAM,1000,4,4,50,0.18917606633300962,0.035333333333333335,5.0,4,4.4428,4.8944,0.7111756168359942,"(0.6855735005835198, 0.6902393740698859)"
