,n_dataset,model,p,d,M,npc,conc_dir,mode_nclus,avg_nclus,ari_best_clus,CI_aris
0,0,Lamb,1000,4,4,50,0.1,14,18.25,0.39342547069594136,"(0.311431747421896, 0.4709856049079579)"
1,0,Lamb,1000,4,4,50,0.5,14,18.25,0.39342547069594136,"(0.311431747421896, 0.4709856049079579)"
2,0,Lamb,1000,4,4,50,1.0,13,18.125,0.39342547069594136,"(0.31205527219884027, 0.46328819642947966)"
3,1,Lamb,1000,4,4,50,0.1,20,22.75,0.29485554664666475,"(0.28383114380007846, 0.31412348074749996)"
4,1,Lamb,1000,4,4,50,0.5,20,22.75,0.29485554664666475,"(0.28383114380007846, 0.31412348074749996)"
5,1,Lamb,1000,4,4,50,1.0,20,22.75,0.29485554664666475,"(0.28383114380007846, 0.31412348074749996)"
6,2,Lamb,1000,4,4,50,0.1,19,20.0,0.33396351614703135,"(0.29141280850506507, 0.34231913162506794)"
7,2,Lamb,1000,4,4,50,0.5,19,20.0,0.33396351614703135,"(0.29141280850506507, 0.34231913162506794)"
8,2,Lamb,1000,4,4,50,1.0,19,20.0,0.33396351614703135,"(0.29141280850506507, 0.34231913162506794)"
9,3,Lamb,1000,4,4,50,0.1,12,13.875,0.427680949875507,"(0.3678000115205372, 0.4249620791349805)"
10,3,Lamb,1000,4,4,50,0.5,12,13.875,0.427680949875507,"(0.3678000115205372, 0.4249620791349805)"
11,3,Lamb,1000,4,4,50,1.0,12,13.875,0.427680949875507,"(0.3678000115205372, 0.4249620791349805)"
12,4,Lamb,1000,4,4,50,0.1,25,23.5,0.2732153931824658,"(0.2787520741759606, 0.30843067390955947)"
13,4,Lamb,1000,4,4,50,0.5,25,23.5,0.2732153931824658,"(0.2787520741759606, 0.30843067390955947)"
14,4,Lamb,1000,4,4,50,1.0,25,23.5,0.2732153931824658,"(0.2787520741759606, 0.30843067390955947)"
15,5,Lamb,1000,4,4,50,0.1,9,9.75,0.28886103846720934,"(0.2114266035213712, 0.25111981819244894)"
16,5,Lamb,1000,4,4,50,0.5,9,9.75,0.28886103846720934,"(0.2114266035213712, 0.25111981819244894)"
17,5,Lamb,1000,4,4,50,1.0,9,9.75,0.28886103846720934,"(0.2114266035213712, 0.25111981819244894)"
18,6,Lamb,1000,4,4,50,0.1,26,28.625,0.23148585931560373,"(0.20780247709518135, 0.23287115186675195)"
19,6,Lamb,1000,4,4,50,0.5,26,28.625,0.23148585931560373,"(0.20780247709518135, 0.23287115186675195)"
20,6,Lamb,1000,4,4,50,1.0,21,20.0,0.3249653388571961,"(0.30137837219214325, 0.38283403427891416)"
21,7,Lamb,1000,4,4,50,0.1,18,20.0,0.42544068520376693,"(0.36736985296543245, 0.49616021891029327)"
22,7,Lamb,1000,4,4,50,0.5,18,20.0,0.42544068520376693,"(0.36736985296543245, 0.49616021891029327)"
23,7,Lamb,1000,4,4,50,1.0,18,20.0,0.42544068520376693,"(0.36736985296543245, 0.49616021891029327)"
24,8,Lamb,1000,4,4,50,0.1,7,12.5,0.4823699897956566,"(0.4220995046892355, 0.511463278375386)"
